"block_number","min"
11754553,83490506378
11754554,6.7e+10
11754555,6.6e+10
11754556,68408474116
11754557,1e+09
11754558,60000001459
11754559,6e+10
11754560,58000001459
11754561,5.7e+10
11754562,5.5e+10
11754563,72000001750
11754564,6.1e+10
11754565,5.5e+10
11754566,8.5e+10
11754567,69000001677
11754568,6.7e+10
11754569,62000001561
11754570,60000001459
11754571,60000001459
11754572,5.5e+10
11754573,5.5e+10
11754574,5.5e+10
11754575,5.5e+10
11754576,6.05e+10
11754577,53000001347
11754578,5.25e+10
11754579,8.3e+10
11754580,6.6e+10
11754581,6.1e+10
11754582,6.8e+10
11754583,7.5e+10
11754584,6.6e+10
11754585,6.05e+10
11754586,6e+10
11754587,55003500000
11754588,55003500000
11754589,52000001347
11754590,5.5e+10
11754591,53000001459
11754592,1e+09
11754593,52000001123
11754594,5.2e+10
11754595,1e+09
11754596,1e+09
11754597,3e+09
11754598,7e+10
11754599,6.6e+10
11754600,8e+10
11754601,6.7e+10
11754602,8.1e+10
11754603,7.2e+10
11754604,67000001459
11754605,7.1e+10
11754606,6.6e+10
11754607,6.6e+10
11754608,8.4e+10
11754609,1e+09
11754610,7.2e+10
11754611,8.4e+10
11754612,80400001750
11754613,1e+09
11754614,67000001459
11754615,6.9e+10
11754616,7e+10
11754617,6.7008e+10
11754618,67000001459
11754619,7.37e+10
11754620,6.7e+10
11754621,6.655e+10
11754622,6.6e+10
11754623,6.6e+10
11754624,6.3e+10
11754625,6.1e+10
11754626,6.0875e+10
11754627,6.05e+10
11754628,6e+10
11754629,70000001459
11754630,7e+10
11754631,67000001459
11754632,66906251447
11754633,6e+10
11754634,6e+10
11754635,5.61e+10
11754636,1e+09
11754637,5.5e+10
11754638,6.6e+10
11754639,1e+09
11754640,54000001459
11754641,53000001459
11754642,6.7e+10
11754643,3.01e+10
11754644,53000001459
11754645,53000001459
11754646,5.3e+10
11754647,5.2e+10
11754648,64000001459
11754649,64000001459
11754650,6.5e+10
11754651,3e+09
11754652,7e+10
11754653,9e+09
11754654,73036072991
11754655,1e+09
11754656,6.5e+10
11754657,9e+09
11754658,64000001459
11754659,5.72e+10
11754660,54000001459
11754661,61053600000
11754662,5.25e+10
11754663,53000001459
11754664,6.4e+10
11754665,64000001459
11754666,64000001459
11754667,5.2e+10
11754668,9e+09
11754669,52000001123
11754670,5.2e+10
11754671,64000001459
11754672,64000001459
11754673,7.6e+10
11754674,1e+09
11754675,7e+10
11754676,64000001459
11754677,71000001459
11754678,64000001459
11754679,64000001459
11754680,1e+09
11754681,9e+09
11754682,5.72e+10
11754683,5.65e+10
11754684,53000001459
11754685,52000001347
11754686,5.2e+10
11754687,9e+09
11754688,9e+09
11754689,7e+10
11754690,1e+09
11754691,1e+09
11754692,64000001459
11754693,64000001459
11754694,64000001459
11754695,7e+10
11754696,62042968903
11754697,6e+10
11754698,53000001459
11754699,64000001459
11754700,8e+10
11754701,64000001459
11754702,1e+09
11754703,5.2e+10
11754704,6.9e+10
11754705,64000001459
11754706,5.21e+10
11754707,8.47e+10
