"block_number","min"
11904455,1.7466e+11
11904456,1.54e+11
11904457,151000001459
11904458,1.5e+11
11904459,9e+09
11904460,1.5e+11
11904461,1e+09
11904462,1.5e+11
11904463,1.5e+11
11904464,1.419e+11
11904465,1.35e+11
11904466,1.3e+11
11904467,1.51e+11
11904468,1.51e+11
11904469,1.57e+11
11904470,150000001347
11904471,1.41e+11
11904472,1.28e+11
11904473,1.2e+11
11904475,1.15e+11
11904476,112000001347
11904477,1.12e+11
11904478,111000001459
11904479,1.43e+11
11904480,1.1e+11
11904481,1.03e+11
11904482,1.5e+11
11904483,151000001459
11904484,1.41e+11
11904485,1.605e+11
11904486,148000001459
11904487,1e+09
11904488,1.41e+11
11904489,142000001459
11904490,1e+09
11904491,9e+09
11904492,145000001459
11904493,1.41e+11
11904494,1.41e+11
11904495,1.6e+11
11904496,1.6e+11
11904497,1.53e+11
11904498,1.551e+11
11904499,1.66e+11
11904500,1.65e+11
11904501,155100000001
11904502,1.64e+11
11904503,149267209585
11904504,1.4765e+11
11904505,1.551e+11
11904506,142000001459
11904507,1.6e+11
11904508,148000001561
11904509,1.41e+11
11904510,1.4e+11
11904512,1.82e+11
11904513,170426386796
11904514,1e+09
11904515,170426386796
11904516,9e+09
11904517,154000001459
11904518,154000001459
11904519,1.5e+11
11904520,1.705e+11
11904521,182710001764
11904522,1.71e+11
11904523,9e+09
11904524,1.76e+11
11904525,1.7e+11
11904526,1.76e+11
11904527,1e+09
11904528,1.69e+11
11904529,9e+09
11904530,166100001604
11904531,1.683e+11
11904532,1.58e+11
11904533,9e+09
11904534,1.55e+11
11904535,9e+09
11904536,154933078906
11904537,152712002721
11904538,1.74e+11
11904539,1.826e+11
11904540,9e+09
11904541,1.7028e+11
11904543,9e+09
11904544,1.5e+11
11904545,149000001459
11904546,1.48e+11
11904547,1.48e+11
11904548,1.45e+11
11904549,1.37e+11
11904550,1.826e+11
11904551,1.69e+11
11904552,155100000233
11904553,165830001502
11904554,9e+09
11904555,1e+09
11904557,1.58e+11
11904558,135013500000
11904559,1.35e+11
11904560,131280523264
11904561,1.58e+11
11904562,1.31e+11
11904563,1.3e+11
11904564,1.24e+11
11904565,1.216e+11
11904566,1e+09
11904567,3.01e+10
11904568,1.58e+11
11904569,1.48e+11
11904570,1.43e+11
11904571,1.45e+11
11904572,1.21e+11
11904573,1.43e+11
11904574,1.21e+11
11904575,1.2e+11
11904576,1.65e+11
11904577,1.48e+11
11904578,1.42e+11
11904579,9e+09
11904580,1.42e+11
11904581,1.36e+11
11904582,1.3e+11
11904583,1.7e+11
11904584,1.54e+11
11904585,1.42e+11
11904586,1.704e+11
11904587,1.67e+11
11904588,157000001459
11904589,1.51e+11
11904590,1.45e+11
11904591,1.42e+11
11904592,3.01e+10
11904593,1.4e+11
11904594,126000001459
11904595,1.19e+11
11904596,1e+09
11904597,1.1e+11
11904598,1.083e+11
11904599,1e+09
11904600,1.42e+11
11904601,1.03e+11
11904602,1e+09
11904603,1.01e+11
11904604,1e+11
11904605,1e+11
11904606,1e+11
11904607,9.6e+10
11904608,9.79e+10
11904609,1e+09
11904610,1.35e+11
11904611,9e+09
11904612,1.24e+11
11904613,1.1e+11
11904614,1.03e+11
11904615,1e+09
11904616,101000000729
11904617,1.58e+11
11904618,1.42e+11
11904619,9e+09
11904620,1.5e+11
11904621,1.4652e+11
11904622,1.45e+11
11904623,9e+09
11904624,1.63e+11
11904625,1.69589e+11
11904626,9e+09
11904627,156000001459
11904628,1.65e+11
11904629,1.452e+11
11904630,1.44e+11
11904631,1.39e+11
11904632,137619245900
11904633,1.298e+11
11904634,1.298e+11
11904635,9e+09
11904636,1.212e+11
11904637,1e+09
11904638,1.15e+11
11904639,1.12e+11
11904640,1.29e+11
11904641,1e+09
11904642,1.31e+11
11904643,1.15e+11
11904644,1.14e+11
11904645,1.38e+11
11904646,1.1e+11
11904647,105000001459
11904648,1e+11
11904649,9.6e+10
11904650,9.6e+10
11904651,9.5e+10
11904652,1.3e+11
11904653,1e+09
11904654,158000001561
11904655,1.58e+11
11904656,1.43e+11
11904657,1.32e+11
11904658,9e+09
11904659,1.5e+11
11904660,1.45e+11
11904661,1.298e+11
11904662,1.375e+11
11904663,1.45e+11
11904664,1.265e+11
11904665,1.22e+11
11904666,120000001459
11904667,116000001459
11904668,1.595e+11
11904669,1.4499e+11
11904670,1.37e+11
11904671,1.3e+11
11904672,1.16e+11
11904673,151800000233
11904674,1.326e+11
11904675,1e+09
11904676,1.581e+11
11904677,1.375e+11
11904678,1e+09
11904679,1.2e+11
11904680,1.4e+11
11904681,1.33e+11
11904682,117000001459
11904683,1.185e+11
11904684,1.15e+11
11904685,1.53e+11
11904686,1.52e+11
11904687,1.3e+11
11904688,1.3e+11
11904689,1.375e+11
11904690,1.59e+11
11904691,1.57105e+11
11904692,1.452e+11
11904693,1.32e+11
11904694,91000001123
11904695,1.3e+11
11904696,1.17e+11
11904697,1.15e+11
11904698,1.5e+11
11904699,1.43e+11
11904700,1.323e+11
11904701,1.15e+11
11904702,114000001347
11904703,1.092e+11
11904704,1.09e+11
11904705,1.32e+11
11904706,1.22e+11
11904707,1.265e+11
11904708,1.15e+11
11904709,1.38e+11
11904710,1.28e+11
11904711,131280523264
11904712,1.18e+11
11904713,1.092e+11
11904714,1.09e+11
11904715,1.056e+11
11904716,1.01e+11
11904717,1.17e+11
11904718,1.31e+11
11904719,1.3e+11
11904720,1e+09
11904721,1.17e+11
11904722,1.17e+11
11904723,1.1e+11
11904724,104000001459
11904725,1.01e+11
11904727,1.14e+11
11904728,1.55e+11
11904729,1.5e+11
11904730,9.999e+10
11904731,1.404e+11
11904732,1.34e+11
11904733,1.404e+11
11904734,1.31e+11
11904735,1.287e+11
11904736,1.21e+11
11904737,1.17e+11
11904738,1.17e+11
11904739,1.15e+11
11904740,1.10125e+11
11904741,1.01e+11
11904742,9.5e+10
11904743,116662210000
11904744,1.5e+11
11904745,1.41e+11
11904746,1.287e+11
11904747,132000000001
11904748,1e+09
11904749,1.287e+11
11904750,1.35e+11
11904751,1.287e+11
11904752,1.2e+11
11904753,1.2e+11
11904754,1.56e+11
11904755,1.4157e+11
11904756,132000001459
11904757,1.287e+11
11904758,1.2e+11
11904759,3.01e+10
11904760,1.31e+11
11904761,1.31e+11
11904762,1.55e+11
11904763,1.51e+11
11904764,1.53e+11
11904765,1.441e+11
11904766,1.35e+11
11904768,1.441e+11
11904769,1.57e+11
11904770,144000001459
11904771,1.32e+11
11904773,1.31e+11
11904774,1.3098e+11
11904775,1.3e+11
11904777,1.287e+11
11904778,1.26e+11
11904779,1.18e+11
11904780,1.17e+11
11904781,1.34e+11
11904782,1.32e+11
11904783,1.31e+11
11904784,1.17e+11
11904785,1.11e+11
11904786,1.1e+11
11904787,3.01e+10
11904788,1.15e+11
11904789,1.1e+11
11904790,1.09e+11
11904791,1.12e+11
11904792,1e+09
11904793,1.2e+11
11904794,1.07766e+11
11904795,1.01e+11
11904796,1.37e+11
11904797,1.15e+11
11904798,1.1e+11
11904799,9.7e+10
11904800,94000001123
11904801,1.5e+11
11904802,1.18e+11
11904803,108000001459
11904804,9.4e+10
11904805,1.45e+11
